player_name,player_link,player_birthday,player_current_team,player_handedness,player_position,player_image
Alvin Sims,https://www.basketball-reference.com/players/s/simsal01.html,1974-10-18,Free Agent / Retired,Right,Shooting Guard,
Alvin Williams,https://www.basketball-reference.com/players/w/willial02.html,1974-08-06,Free Agent / Retired,Right,Point Guard and Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/willial02.jpg
Amal McCaskill,https://www.basketball-reference.com/players/m/mccasam01.html,1973-10-28,Free Agent / Retired,Right,Center,
Amar'e Stoudemire,https://www.basketball-reference.com/players/s/stoudam01.html,1982-11-16,Free Agent / Retired,Right,Power Forward and Center,https://www.basketball-reference.com/req/202106291/images/headshots/stoudam01.jpg
Amari Bailey,https://www.basketball-reference.com/players/b/baileam01.html,2004-02-17,Free Agent / Retired,Left,Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/baileam01.jpg
Amen Thompson,https://www.basketball-reference.com/players/t/thompam01.html,2003-01-30,Houston Rockets,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/thompam01.jpg
Amida Brimah,https://www.basketball-reference.com/players/b/brimaam01.html,1994-02-11,Free Agent / Retired,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/brimaam01.jpg
Amile Jefferson,https://www.basketball-reference.com/players/j/jeffeam01.html,1993-05-07,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/jeffeam01.jpg
Amir Coffey,https://www.basketball-reference.com/players/c/coffeam01.html,1997-06-17,Los Angeles Clippers,Left,Shooting Guard and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/coffeam01.jpg
Amir Johnson,https://www.basketball-reference.com/players/j/johnsam01.html,1987-05-01,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/johnsam01.jpg
Anderson Varejão,https://www.basketball-reference.com/players/v/varejan01.html,1982-09-28,Free Agent / Retired,Right,Center and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/varejan01.jpg
Andrae Patterson,https://www.basketball-reference.com/players/p/pattean01.html,1975-11-12,Free Agent / Retired,Right,Power Forward,
Andray Blatche,https://www.basketball-reference.com/players/b/blatcan01.html,1986-08-22,Free Agent / Retired,Right,Power Forward and Center,https://www.basketball-reference.com/req/202106291/images/headshots/blatcan01.jpg
Andre Barrett,https://www.basketball-reference.com/players/b/barrean01.html,1982-02-21,Free Agent / Retired,Right,Point Guard,
Andre Brown,https://www.basketball-reference.com/players/b/brownan01.html,1981-05-12,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/brownan01.jpg
Andre Dawkins,https://www.basketball-reference.com/players/d/dawkian01.html,1991-09-19,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/dawkian01.jpg
Andre Drummond,https://www.basketball-reference.com/players/d/drumman01.html,1993-08-10,Philadelphia 76ers,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/drumman01.jpg
Andre Emmett,https://www.basketball-reference.com/players/e/emmetan01.html,1982-08-27,Free Agent / Retired,Right,Small Forward and Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/emmetan01.jpg
Andre Iguodala,https://www.basketball-reference.com/players/i/iguodan01.html,1984-01-28,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/iguodan01.jpg
Andre Ingram,https://www.basketball-reference.com/players/i/ingraan01.html,1985-11-19,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/ingraan01.jpg
Andre Jackson Jr.,https://www.basketball-reference.com/players/j/jacksan01.html,2001-11-13,Milwaukee Bucks,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/jacksan01.jpg
Andre Miller,https://www.basketball-reference.com/players/m/millean02.html,1976-03-19,Free Agent / Retired,Right,Point Guard and Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/millean02.jpg
Andre Owens,https://www.basketball-reference.com/players/o/owensan01.html,1980-10-31,Free Agent / Retired,Right,Point Guard,
Andre Roberson,https://www.basketball-reference.com/players/r/roberan03.html,1991-12-04,Free Agent / Retired,Right,Shooting Guard and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/roberan03.jpg
Andrea Bargnani,https://www.basketball-reference.com/players/b/bargnan01.html,1985-10-26,Free Agent / Retired,Right,Center and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/bargnan01.jpg
Andreas Glyniadakis,https://www.basketball-reference.com/players/g/glynian01.html,1981-08-21,Free Agent / Retired,Right,Center,
Andrei Kirilenko,https://www.basketball-reference.com/players/k/kirilan01.html,1981-02-18,Free Agent / Retired,Right,Small Forward and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/kirilan01.jpg
Andrew Bogut,https://www.basketball-reference.com/players/b/bogutan01.html,1984-11-28,Free Agent / Retired,Right,Center and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/bogutan01.jpg
Andrew Bynum,https://www.basketball-reference.com/players/b/bynuman01.html,1987-10-27,Free Agent / Retired,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/bynuman01.jpg
Andrew DeClercq,https://www.basketball-reference.com/players/d/declean01.html,1973-02-01,Free Agent / Retired,Right,Center,
Andrew Funk,https://www.basketball-reference.com/players/f/funkan01.html,1999-09-21,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/funkan01.jpg
Andrew Gaze,https://www.basketball-reference.com/players/g/gazean01.html,1965-07-24,Free Agent / Retired,Right,Shooting Guard,
Andrew Goudelock,https://www.basketball-reference.com/players/g/goudean01.html,1988-12-07,Free Agent / Retired,Right,Shooting Guard and Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/goudean01.jpg
Andrew Harrison,https://www.basketball-reference.com/players/h/harrian01.html,1994-10-28,Free Agent / Retired,Right,Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/harrian01.jpg
Andrew Lang,https://www.basketball-reference.com/players/l/langan01.html,1966-06-28,Free Agent / Retired,Right,Center,
Andrew Nembhard,https://www.basketball-reference.com/players/n/nembhan01.html,2000-01-16,Indiana Pacers,Right,Shooting Guard and Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/nembhan01.jpg
Andrew Nicholson,https://www.basketball-reference.com/players/n/nichoan01.html,1989-12-08,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/nichoan01.jpg
Andrew White,https://www.basketball-reference.com/players/w/whitean01.html,1993-06-16,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/whitean01.jpg
Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html,1995-02-23,Golden State Warriors,Right,Small Forward and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/wiggian01.jpg
Andris Biedriņš,https://www.basketball-reference.com/players/b/biedran01.html,1986-04-02,Free Agent / Retired,Left,Center,https://www.basketball-reference.com/req/202106291/images/headshots/biedran01.jpg
Andrés Nocioni,https://www.basketball-reference.com/players/n/nocioan01.html,1979-11-30,Free Agent / Retired,Right,Small Forward and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/nocioan01.jpg
Andy Panko,https://www.basketball-reference.com/players/p/pankoan01.html,1977-11-27,Free Agent / Retired,Right,Small Forward,
Andy Rautins,https://www.basketball-reference.com/players/r/rautian01.html,1986-11-02,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/rautian01.jpg
Andy Toolson,https://www.basketball-reference.com/players/t/toolsan01.html,1966-01-19,Free Agent / Retired,Right,Small Forward,
Anfernee Hardaway,https://www.basketball-reference.com/players/h/hardaan01.html,1971-07-18,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/hardaan01.jpg
Anfernee Simons,https://www.basketball-reference.com/players/s/simonan01.html,1999-06-08,Portland Trail Blazers,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/simonan01.jpg
Ansu Sesay,https://www.basketball-reference.com/players/s/sesayan01.html,1976-07-29,Free Agent / Retired,Left,Small Forward,
Antawn Jamison,https://www.basketball-reference.com/players/j/jamisan01.html,1976-06-12,Free Agent / Retired,Right,Power Forward and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/jamisan01.jpg
Ante Žižić,https://www.basketball-reference.com/players/z/zizican01.html,1997-01-04,Free Agent / Retired,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/zizican01.jpg
Anthony Avent,https://www.basketball-reference.com/players/a/aventan01.html,1969-10-18,Free Agent / Retired,Right,Power Forward,
Anthony Bennett,https://www.basketball-reference.com/players/b/bennean01.html,1993-03-14,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/bennean01.jpg
